SwissID	0	2	4	6	8	10	12	14	16	20	30
P20248	1.031169	0.774472	-1.211467	-1.350086	-0.445034	0.878444	-0.883186	-0.331828	-0.512772	0.206736	0.24602
P14635	0.839842	0.955312	-0.164386	-1.057866	-1.122751	0.239956	-0.602765	-0.546745	-0.065874	-0.060686	0.507707
Q01094	-0.349435	-0.301133	0.496353	0.94506	0.849496	0.71173	-0.412943	0.582562	0.893208	0.303934	0.691331
P08319	0.458261	0.503158	0.036258	-0.771373	-0.425075	0.118446	-0.408381	-0.336067	-0.048609	-0.065267	0.064283
O95067	0.058873	0.202307	0.491137	0.514676	0.691778	0.52902	0.493058	0.402325	0.040799	-0.301553	-0.559574
P12004	-0.597351	-0.406397	-0.017507	0.254038	0.433811	0.226798	0.274412	0.393342	0.264563	0.124691	0.069767
P30305	0.941053	0.535204	0.131202	-0.47611	-0.263209	-0.363604	-0.713089	-0.287025	-0.011857	-0.055918	0.036853
P16104	0.260519	-0.203081	-0.424705	-0.713398	-0.45282	-0.277061	-0.437564	0.081594	0.160296	0.533531	0.560694
P33992	-0.643804	-0.195073	0.329501	0.53793	0.916559	0.234116	0.749431	0.11335	-0.288029	0.1506	0.032841
P35249	-0.583851	-0.11229	0.002984	0.220871	-0.012129	-0.612808	-0.325279	0.572435	0.571701	0.345019	0.564729
O94913	0.735113	1.757331	-0.652808	-0.407828	-0.066236	-0.49717	-0.308077	-0.527471	0.303474	-0.463052	-0.013872
Q13415	-0.439052	-0.571409	-0.196997	0.213366	0.304982	0.001224	0.37783	0.26058	-0.251972	0.513677	0.173178
Q15054	-0.330846	-0.356892	-0.07799	-0.328769	0.649094	-0.499885	-0.045666	0.52544	0.243735	0.487486	0.464826
P30307	0.908093	0.724101	-0.406663	-1.36288	-0.619811	0.492788	-0.760432	-0.975795	0.309905	-0.15556	-0.026443
O75496	-0.313033	0.057732	0.088401	0.446219	0.219954	0.014618	0.306007	0.358508	-0.267757	0.48362	-0.057604
P49736	-0.587692	0.203565	0.063353	-0.181826	0.321271	-0.209567	0.073587	0.174728	0.254756	0.089206	0.411296
