186,Dictyostelium discoideum,5662620,Signaling by GPCR
107,Mus musculus,5604683,Metabolism of lipids and lipoproteins
82,Canis familiaris,5932115,RHO GTPases Activate WASPs and WAVEs,5931192,
69,Sus scrofa,5442068,GPCR ligand binding
60,Canis familiaris,5932113,Zinc transporters
56,Mus musculus,5605982,Chromatin organization
56,Sus scrofa,5441966,Transport of glucose and other sugars; bile salts and organic acids; metal ions and amine compounds
54,Dictyostelium discoideum,5662449,Assembly of the pre-replicative complex
53,Canis familiaris,5551036,Signaling by TGF-beta Receptor Complex
47,Caenorhabditis elegans,5388649,Apoptosis
46,Canis familiaris,5932107,Type I hemidesmosome assembly,5931891,
42,Sus scrofa,5441516,Muscle contraction
38,Canis familiaris,5932109,Sodium-coupled sulphate; di- and tri-carboxylate transporters,5931162,
38,Sus scrofa,5442354,Regulation of mRNA stability by proteins that bind AU-rich elements
37,Sus scrofa,5441627,Interleukin-2 signaling
35,Canis familiaris,5932114,Zinc influx into cells by the SLC39 gene family,5931162,
35,Sus scrofa,5442282,Cell junction organization
35,Sus scrofa,5441813,Asparagine N-linked glycosylation
34,Sus scrofa,5442178,Myogenesis
33,Canis familiaris,5932110,Proton-coupled monocarboxylate transport,5931162,
33,Canis familiaris,5932108,Bile salt and organic anion SLC transporters
33,Saccharomyces cerevisiae,5369313,Metabolism
32,Canis familiaris,5932119,Ras activation uopn Ca2+ infux through NMDA receptor,5931174,
31,Caenorhabditis elegans,5388648,Intrinsic Pathway for Apoptosis
31,Saccharomyces cerevisiae,5369312,Metabolism of carbohydrates
30,Canis familiaris,5931956,Semaphorin interactions,5931415,
30,Caenorhabditis elegans,5388319,Cell Cycle
26,Sus scrofa,5441352,Oxidative Stress Induced Senescence
26,Saccharomyces cerevisiae,5369282,Cell Cycle
25,Canis familiaris,5931955,Other semaphorin interactions,5931415,
25,Canis familiaris,5931360,Processing of DNA double-strand break ends,5931245,
25,Saccharomyces cerevisiae,5617992,Cell Cycle
25,Sus scrofa,5441664,L1CAM interactions
25,Saccharomyces cerevisiae,5369548,Apoptosis
23,Plasmodium falciparum,5666768,Cell Cycle
23,Caenorhabditis elegans,5388352,Disease
22,Rattus norvegicus,6051920,GPCR downstream signaling,6051589,Signal Transduction
22,Caenorhabditis elegans,5389153,Binding and Uptake of Ligands by Scavenger Receptors
22,Caenorhabditis elegans,5388349,Metabolism
22,Saccharomyces cerevisiae,5369386,Signal Transduction
21,Dictyostelium discoideum,5592798,ER to Golgi Transport
21,Caenorhabditis elegans,5388455,Signal Transduction
20,Sus scrofa,5441421,Apoptosis
19,Canis familiaris,5931324,RHO GTPases activate PKNs,5931192,
19,Plasmodium falciparum,5666789,Metabolism of carbohydrates
19,Dictyostelium discoideum,5662528,Defects in cobalamin (B12) metabolism
19,Caenorhabditis elegans,5388826,Apoptotic execution  phase
18,Canis familiaris,5931300,VEGFA-VEGFR2 Pathway,5931192,
18,Saccharomyces cerevisiae,5618422,Membrane Trafficking
17,Mus musculus,5991023,Metabolism of carbohydrates,5991024,Metabolism
17,Plasmodium falciparum,5666767,Cell Cycle; Mitotic
17,Dictyostelium discoideum,5663002,Signalling to ERK5
17,Caenorhabditis elegans,5388869,Cell-Cell communication
16,Canis familiaris,5931958,Sema4D in semaphorin signaling,5931415,
16,Plasmodium falciparum,5666790,Metabolism
16,Bos taurus,5493428,Cell Cycle
16,Saccharomyces cerevisiae,5369372,DNA Repair
15,Dictyostelium discoideum,5663029,ER to Golgi Transport
15,Dictyostelium discoideum,5662619,Opioid Signalling
15,Dictyostelium discoideum,5662532,Defective AMN causes hereditary megaloblastic anemia 1
15,Canis familiaris,5551222,Signaling by BMP
15,Bos taurus,5493534,Apoptosis
15,Sus scrofa,5441370,Hexose transport
15,Caenorhabditis elegans,5389030,Meiosis
15,Caenorhabditis elegans,5388570,Developmental Biology
